"episode","1000 - _step","1000 - neither_coins1"
"1","0","0.26"
"2","1","0.19"
"3","2","0.2"
"4","3","0.14"
"5","4","0.3"
"6","5","0.21"
"7","6","0.14"
"8","7","0.21"
"9","8","0.3"
"10","9","0.29"
"11","10","0.22"
"12","11","0.29"
"13","12","0.23"
"14","13","0.19"
"15","14","0.15"
"16","15","0.2"
"17","16","0.34"
"18","17","0.22"
"19","18","0.34"
"20","19","0.26"
"21","20","0.32"
"22","21","0.4"
"23","22","0.34"
"24","23","0.41"
"25","24","0.26"
"26","25","0.41"
"27","26","0.43"
"28","27","0.34"
"29","28","0.46"
"30","29","0.35"
"31","30","0.42"
"32","31","0.35"
"33","32","0.28"
"34","33","0.35"
"35","34","0.28"
"36","35","0.33"
"37","36","0.48"
"38","37","0.38"
"39","38","0.43"
"40","39","0.49"
"41","40","0.33"
"42","41","0.44"
"43","42","0.39"
"44","43","0.38"
"45","44","0.53"
"46","45","0.48"
"47","46","0.39"
"48","47","0.44"
"49","48","0.46"
"50","49","0.51"
"51","50","0.43"
"52","51","0.41"
"53","52","0.38"
"54","53","0.43"
"55","54","0.58"
"56","55","0.49"
"57","56","0.4"
"58","57","0.3"
"59","58","0.46"
"60","59","0.39"
"61","60","0.33"
"62","61","0.45"
"63","62","0.5"
"64","63","0.41"
"65","64","0.48"
"66","65","0.39"
"67","66","0.53"
"68","67","0.36"
"69","68","0.56"
"70","69","0.48"
"71","70","0.43"
"72","71","0.52"
"73","72","0.44"
"74","73","0.37"
"75","74","0.5"
"76","75","0.46"
"77","76","0.48"
"78","77","0.35"
"79","78","0.46"
"80","79","0.36"
"81","80","0.45"
"82","81","0.44"
"83","82","0.45"
"84","83","0.5"
"85","84","0.37"
"86","85","0.34"
"87","86","0.52"
"88","87","0.48"
"89","88","0.47"
"90","89","0.62"
"91","90","0.53"
"92","91","0.42"
"93","92","0.44"
"94","93","0.45"
"95","94","0.52"
"96","95","0.42"
"97","96","0.33"
"98","97","0.5"
"99","98","0.57"
"100","99","0.37"
"101","100","0.49"
"102","101","0.42"
"103","102","0.33"
"104","103","0.37"
"105","104","0.42"
"106","105","0.41"
"107","106","0.57"
"108","107","0.4"
"109","108","0.47"
"110","109","0.52"
"111","110","0.41"
"112","111","0.43"
"113","112","0.41"
"114","113","0.48"
"115","114","0.46"
"116","115","0.55"
"117","116","0.45"
"118","117","0.4"
"119","118","0.41"
"120","119","0.48"
"121","120","0.44"
"122","121","0.49"
"123","122","0.48"
"124","123","0.5"
"125","124","0.41"
"126","125","0.44"
"127","126","0.5"
"128","127","0.49"
"129","128","0.43"
"130","129","0.51"
"131","130","0.56"
"132","131","0.45"
"133","132","0.55"
"134","133","0.44"
"135","134","0.42"
"136","135","0.57"
"137","136","0.54"
"138","137","0.48"
"139","138","0.44"
"140","139","0.41"
"141","140","0.41"
"142","141","0.5"
"143","142","0.37"
"144","143","0.36"
"145","144","0.37"
"146","145","0.33"
"147","146","0.44"
"148","147","0.39"
"149","148","0.44"
"150","149","0.51"
"151","150","0.44"
"152","151","0.51"
"153","152","0.45"
"154","153","0.42"
"155","154","0.5"
"156","155","0.52"
"157","156","0.4"
"158","157","0.48"
"159","158","0.52"
"160","159","0.52"
"161","160","0.44"
"162","161","0.48"
"163","162","0.52"
"164","163","0.5"
"165","164","0.57"
"166","165","0.57"
"167","166","0.41"
"168","167","0.38"
"169","168","0.5"
"170","169","0.46"
"171","170","0.51"
"172","171","0.45"
"173","172","0.42"
"174","173","0.49"
"175","174","0.47"
"176","175","0.49"
"177","176","0.48"
"178","177","0.33"
"179","178","0.39"
"180","179","0.44"
"181","180","0.53"
"182","181","0.44"
"183","182","0.56"
"184","183","0.41"
"185","184","0.47"
"186","185","0.39"
"187","186","0.48"
"188","187","0.4"
"189","188","0.46"
"190","189","0.41"
"191","190","0.4"
"192","191","0.37"
"193","192","0.36"
"194","193","0.56"
"195","194","0.54"
"196","195","0.38"
"197","196","0.48"
"198","197","0.48"
"199","198","0.44"
"200","199","0.38"
"201","200","0.39"
"202","201","0.43"
"203","202","0.56"
"204","203","0.47"
"205","204","0.61"
"206","205","0.51"
"207","206","0.47"
"208","207","0.46"
"209","208","0.44"
"210","209","0.54"
"211","210","0.56"
"212","211","0.4"
"213","212","0.36"
"214","213","0.49"
"215","214","0.67"
"216","215","0.45"
"217","216","0.46"
"218","217","0.44"
"219","218","0.41"
"220","219","0.39"
"221","220","0.41"
"222","221","0.26"
"223","222","0.48"
"224","223","0.41"
"225","224","0.47"
"226","225","0.41"
"227","226","0.5"
"228","227","0.4"
"229","228","0.5"
"230","229","0.48"
"231","230","0.52"
"232","231","0.45"
"233","232","0.43"
"234","233","0.46"
"235","234","0.45"
"236","235","0.48"
"237","236","0.46"
"238","237","0.34"
"239","238","0.39"
"240","239","0.49"
"241","240","0.45"
"242","241","0.51"
"243","242","0.37"
"244","243","0.4"
"245","244","0.52"
"246","245","0.61"
"247","246","0.5"
"248","247","0.53"
"249","248","0.44"
"250","249","0.43"
"251","250","0.49"
"252","251","0.49"
"253","252","0.35"
"254","253","0.34"
"255","254","0.49"
"256","255","0.48"
"257","256","0.45"
"258","257","0.44"
"259","258","0.41"
"260","259","0.44"
"261","260","0.37"
"262","261","0.42"
"263","262","0.55"
"264","263","0.45"
"265","264","0.49"
"266","265","0.41"
"267","266","0.5"
"268","267","0.53"
"269","268","0.41"
"270","269","0.37"
"271","270","0.45"
"272","271","0.39"
"273","272","0.47"
"274","273","0.45"
"275","274","0.42"
"276","275","0.45"
"277","276","0.39"
"278","277","0.48"
"279","278","0.54"
"280","279","0.47"
"281","280","0.42"
"282","281","0.58"
"283","282","0.37"
"284","283","0.44"
"285","284","0.38"
"286","285","0.43"
"287","286","0.45"
"288","287","0.38"
"289","288","0.51"
"290","289","0.39"
"291","290","0.45"
"292","291","0.44"
"293","292","0.47"
"294","293","0.49"
"295","294","0.5"
"296","295","0.35"
"297","296","0.45"
"298","297","0.44"
"299","298","0.54"
"300","299","0.47"
"301","300","0.55"
"302","301","0.42"
"303","302","0.54"
"304","303","0.45"
