"episode","1000 - _step","1000 - other_coins1"
"1","0","0.14"
"2","1","0.17"
"3","2","0.23"
"4","3","0.24"
"5","4","0.31"
"6","5","0.22"
"7","6","0.26"
"8","7","0.24"
"9","8","0.22"
"10","9","0.24"
"11","10","0.26"
"12","11","0.27"
"13","12","0.21"
"14","13","0.21"
"15","14","0.25"
"16","15","0.23"
"17","16","0.34"
"18","17","0.31"
"19","18","0.33"
"20","19","0.3"
"21","20","0.3"
"22","21","0.3"
"23","22","0.28"
"24","23","0.29"
"25","24","0.35"
"26","25","0.38"
"27","26","0.34"
"28","27","0.36"
"29","28","0.48"
"30","29","0.35"
"31","30","0.36"
"32","31","0.41"
"33","32","0.45"
"34","33","0.32"
"35","34","0.4"
"36","35","0.48"
"37","36","0.46"
"38","37","0.35"
"39","38","0.46"
"40","39","0.42"
"41","40","0.32"
"42","41","0.44"
"43","42","0.41"
"44","43","0.47"
"45","44","0.53"
"46","45","0.49"
"47","46","0.4"
"48","47","0.38"
"49","48","0.34"
"50","49","0.51"
"51","50","0.49"
"52","51","0.56"
"53","52","0.57"
"54","53","0.58"
"55","54","0.35"
"56","55","0.37"
"57","56","0.46"
"58","57","0.43"
"59","58","0.54"
"60","59","0.47"
"61","60","0.4"
"62","61","0.43"
"63","62","0.48"
"64","63","0.45"
"65","64","0.47"
"66","65","0.39"
"67","66","0.42"
"68","67","0.46"
"69","68","0.5"
"70","69","0.44"
"71","70","0.48"
"72","71","0.51"
"73","72","0.41"
"74","73","0.36"
"75","74","0.37"
"76","75","0.51"
"77","76","0.41"
"78","77","0.54"
"79","78","0.53"
"80","79","0.59"
"81","80","0.47"
"82","81","0.5"
"83","82","0.44"
"84","83","0.53"
"85","84","0.46"
"86","85","0.45"
"87","86","0.36"
"88","87","0.44"
"89","88","0.45"
"90","89","0.43"
"91","90","0.44"
"92","91","0.42"
"93","92","0.34"
"94","93","0.44"
"95","94","0.47"
"96","95","0.48"
"97","96","0.5"
"98","97","0.43"
"99","98","0.56"
"100","99","0.42"
"101","100","0.44"
"102","101","0.41"
"103","102","0.36"
"104","103","0.41"
"105","104","0.49"
"106","105","0.47"
"107","106","0.36"
"108","107","0.46"
"109","108","0.43"
"110","109","0.46"
"111","110","0.49"
"112","111","0.45"
"113","112","0.51"
"114","113","0.49"
"115","114","0.44"
"116","115","0.4"
"117","116","0.4"
"118","117","0.55"
"119","118","0.47"
"120","119","0.41"
"121","120","0.51"
"122","121","0.4"
"123","122","0.34"
"124","123","0.54"
"125","124","0.52"
"126","125","0.41"
"127","126","0.43"
"128","127","0.41"
"129","128","0.48"
"130","129","0.44"
"131","130","0.45"
"132","131","0.49"
"133","132","0.46"
"134","133","0.47"
"135","134","0.52"
"136","135","0.41"
"137","136","0.4"
"138","137","0.41"
"139","138","0.49"
"140","139","0.4"
"141","140","0.38"
"142","141","0.54"
"143","142","0.44"
"144","143","0.57"
"145","144","0.37"
"146","145","0.45"
"147","146","0.46"
"148","147","0.59"
"149","148","0.5"
"150","149","0.49"
"151","150","0.4"
"152","151","0.48"
"153","152","0.46"
"154","153","0.36"
"155","154","0.45"
"156","155","0.52"
"157","156","0.56"
"158","157","0.46"
"159","158","0.42"
"160","159","0.41"
"161","160","0.4"
"162","161","0.5"
"163","162","0.36"
"164","163","0.43"
"165","164","0.46"
"166","165","0.56"
"167","166","0.49"
"168","167","0.5"
"169","168","0.45"
"170","169","0.47"
"171","170","0.53"
"172","171","0.49"
"173","172","0.42"
"174","173","0.48"
"175","174","0.44"
"176","175","0.48"
"177","176","0.41"
"178","177","0.41"
"179","178","0.41"
"180","179","0.32"
"181","180","0.38"
"182","181","0.42"
"183","182","0.49"
"184","183","0.51"
"185","184","0.42"
"186","185","0.51"
"187","186","0.35"
"188","187","0.45"
"189","188","0.44"
"190","189","0.52"
"191","190","0.47"
"192","191","0.44"
"193","192","0.42"
"194","193","0.5"
"195","194","0.48"
"196","195","0.41"
"197","196","0.53"
"198","197","0.55"
"199","198","0.43"
"200","199","0.51"
"201","200","0.37"
"202","201","0.43"
"203","202","0.5"
"204","203","0.45"
"205","204","0.47"
"206","205","0.46"
"207","206","0.5"
"208","207","0.48"
"209","208","0.33"
"210","209","0.47"
"211","210","0.53"
"212","211","0.64"
"213","212","0.41"
"214","213","0.39"
"215","214","0.4"
"216","215","0.53"
"217","216","0.51"
"218","217","0.41"
"219","218","0.35"
"220","219","0.42"
"221","220","0.47"
"222","221","0.53"
"223","222","0.43"
"224","223","0.54"
"225","224","0.48"
"226","225","0.42"
"227","226","0.53"
"228","227","0.44"
"229","228","0.37"
"230","229","0.52"
"231","230","0.36"
"232","231","0.45"
"233","232","0.47"
"234","233","0.4"
"235","234","0.44"
"236","235","0.38"
"237","236","0.53"
"238","237","0.45"
"239","238","0.53"
"240","239","0.46"
"241","240","0.55"
"242","241","0.47"
"243","242","0.46"
"244","243","0.51"
"245","244","0.53"
"246","245","0.43"
"247","246","0.34"
"248","247","0.45"
"249","248","0.43"
"250","249","0.45"
"251","250","0.39"
"252","251","0.42"
"253","252","0.51"
"254","253","0.44"
"255","254","0.38"
"256","255","0.34"
"257","256","0.57"
"258","257","0.46"
"259","258","0.39"
"260","259","0.38"
"261","260","0.39"
"262","261","0.52"
"263","262","0.41"
"264","263","0.44"
"265","264","0.39"
"266","265","0.45"
"267","266","0.47"
"268","267","0.46"
"269","268","0.53"
"270","269","0.44"
"271","270","0.44"
"272","271","0.49"
"273","272","0.54"
"274","273","0.4"
"275","274","0.4"
"276","275","0.46"
"277","276","0.48"
"278","277","0.41"
