"episode","1000 - _step","1000 - reward"
"1","0","0.42"
"2","1","0.51"
"3","2","0.74"
"4","3","1.06"
"5","4","0.59"
"6","5","0.54"
"7","6","0.47"
"8","7","0.88"
"9","8","0.93"
"10","9","0.52"
"11","10","1.13"
"12","11","0.5"
"13","12","0.85"
"14","13","0.81"
"15","14","1.36"
"16","15","0.89"
"17","16","1.26"
"18","17","1.29"
"19","18","0.82"
"20","19","1.06"
"21","20","1.44"
"22","21","1.44"
"23","22","1.22"
"24","23","1.59"
"25","24","1.39"
"26","25","0.44"
"27","26","1.27"
"28","27","1.85"
"29","28","1.04"
"30","29","1.1"
"31","30","0.92"
"32","31","1.26"
"33","32","2.11"
"34","33","1.15"
"35","34","1.63"
"36","35","1.51"
"37","36","1.53"
"38","37","0.95"
"39","38","1.7"
"40","39","1.14"
"41","40","1.5"
"42","41","1.65"
"43","42","1.68"
"44","43","2.45"
"45","44","1.24"
"46","45","2.34"
"47","46","1.75"
"48","47","1.62"
"49","48","1.01"
"50","49","1.34"
"51","50","1.73"
"52","51","1.92"
"53","52","1.51"
"54","53","2.25"
"55","54","0.9"
"56","55","1.08"
"57","56","1.46"
"58","57","1.74"
"59","58","1.75"
"60","59","2.09"
"61","60","1.37"
"62","61","1.06"
"63","62","1.18"
"64","63","1.53"
"65","64","1.36"
"66","65","1.7"
"67","66","0.89"
"68","67","1.53"
"69","68","0.78"
"70","69","1.15"
"71","70","1.08"
"72","71","1.9"
"73","72","1.41"
"74","73","1.19"
"75","74","1.34"
"76","75","2.19"
"77","76","0.99"
"78","77","2.23"
"79","78","1.43"
"80","79","1.98"
"81","80","1.9"
"82","81","1.52"
"83","82","1.57"
"84","83","1.81"
"85","84","1.38"
"86","85","1.32"
"87","86","1.2"
"88","87","1.25"
"89","88","1.98"
"90","89","1.12"
"91","90","0.94"
"92","91","1.35"
"93","92","1.31"
"94","93","1.08"
"95","94","0.96"
"96","95","1.45"
"97","96","2.16"
"98","97","0.76"
"99","98","1.08"
"100","99","1.46"
"101","100","1.28"
"102","101","1.1"
"103","102","1.8"
"104","103","1.29"
"105","104","1.42"
"106","105","1.53"
