"episode","1000 - _step","1000 - self_coins1"
"1","0","0.27"
"2","1","0.25"
"3","2","0.19"
"4","3","0.24"
"5","4","0.24"
"6","5","0.18"
"7","6","0.21"
"8","7","0.24"
"9","8","0.27"
"10","9","0.27"
"11","10","0.36"
"12","11","0.21"
"13","12","0.24"
"14","13","0.21"
"15","14","0.29"
"16","15","0.19"
"17","16","0.31"
"18","17","0.33"
"19","18","0.25"
"20","19","0.24"
"21","20","0.34"
"22","21","0.35"
"23","22","0.28"
"24","23","0.44"
"25","24","0.35"
"26","25","0.3"
"27","26","0.4"
"28","27","0.32"
"29","28","0.41"
"30","29","0.35"
"31","30","0.4"
"32","31","0.35"
"33","32","0.47"
"34","33","0.31"
"35","34","0.37"
"36","35","0.43"
"37","36","0.4"
"38","37","0.39"
"39","38","0.37"
"40","39","0.43"
"41","40","0.48"
"42","41","0.36"
"43","42","0.36"
"44","43","0.54"
"45","44","0.4"
"46","45","0.49"
"47","46","0.52"
"48","47","0.45"
"49","48","0.3"
"50","49","0.51"
"51","50","0.48"
"52","51","0.46"
"53","52","0.42"
"54","53","0.51"
"55","54","0.47"
"56","55","0.37"
"57","56","0.44"
"58","57","0.46"
"59","58","0.39"
"60","59","0.48"
"61","60","0.45"
"62","61","0.47"
"63","62","0.35"
"64","63","0.39"
"65","64","0.38"
"66","65","0.42"
"67","66","0.42"
"68","67","0.42"
"69","68","0.38"
"70","69","0.39"
"71","70","0.47"
"72","71","0.55"
"73","72","0.34"
"74","73","0.5"
"75","74","0.53"
"76","75","0.54"
"77","76","0.45"
"78","77","0.49"
"79","78","0.46"
"80","79","0.47"
"81","80","0.51"
"82","81","0.47"
"83","82","0.46"
"84","83","0.47"
"85","84","0.5"
"86","85","0.29"
"87","86","0.5"
"88","87","0.48"
"89","88","0.52"
"90","89","0.63"
"91","90","0.41"
"92","91","0.44"
"93","92","0.58"
"94","93","0.47"
"95","94","0.41"
"96","95","0.38"
"97","96","0.44"
"98","97","0.45"
"99","98","0.48"
"100","99","0.47"
"101","100","0.43"
"102","101","0.45"
"103","102","0.42"
"104","103","0.49"
"105","104","0.44"
"106","105","0.39"
"107","106","0.45"
"108","107","0.42"
"109","108","0.44"
"110","109","0.48"
"111","110","0.49"
"112","111","0.59"
"113","112","0.41"
"114","113","0.51"
"115","114","0.35"
"116","115","0.38"
"117","116","0.56"
"118","117","0.49"
"119","118","0.29"
"120","119","0.52"
"121","120","0.45"
"122","121","0.41"
"123","122","0.47"
"124","123","0.43"
"125","124","0.47"
"126","125","0.5"
"127","126","0.42"
"128","127","0.51"
"129","128","0.43"
"130","129","0.43"
"131","130","0.41"
"132","131","0.44"
"133","132","0.45"
"134","133","0.42"
"135","134","0.49"
"136","135","0.4"
"137","136","0.52"
"138","137","0.43"
"139","138","0.48"
"140","139","0.48"
"141","140","0.49"
"142","141","0.48"
"143","142","0.43"
"144","143","0.39"
"145","144","0.49"
"146","145","0.38"
"147","146","0.5"
"148","147","0.44"
"149","148","0.44"
"150","149","0.49"
"151","150","0.57"
"152","151","0.53"
"153","152","0.46"
"154","153","0.37"
"155","154","0.53"
"156","155","0.41"
"157","156","0.49"
"158","157","0.43"
"159","158","0.48"
"160","159","0.38"
"161","160","0.46"
"162","161","0.51"
"163","162","0.52"
"164","163","0.4"
"165","164","0.42"
"166","165","0.41"
"167","166","0.44"
"168","167","0.45"
"169","168","0.37"
"170","169","0.44"
"171","170","0.49"
"172","171","0.43"
"173","172","0.52"
"174","173","0.36"
"175","174","0.5"
"176","175","0.38"
"177","176","0.54"
"178","177","0.57"
"179","178","0.5"
"180","179","0.46"
"181","180","0.44"
"182","181","0.48"
"183","182","0.39"
"184","183","0.46"
"185","184","0.51"
"186","185","0.5"
"187","186","0.54"
"188","187","0.44"
"189","188","0.31"
"190","189","0.4"
"191","190","0.35"
"192","191","0.52"
"193","192","0.44"
"194","193","0.43"
"195","194","0.46"
"196","195","0.44"
"197","196","0.45"
"198","197","0.58"
"199","198","0.53"
"200","199","0.42"
"201","200","0.41"
"202","201","0.41"
"203","202","0.39"
"204","203","0.36"
"205","204","0.37"
"206","205","0.44"
"207","206","0.32"
"208","207","0.45"
"209","208","0.39"
"210","209","0.4"
"211","210","0.44"
"212","211","0.5"
"213","212","0.44"
"214","213","0.41"
"215","214","0.52"
"216","215","0.39"
"217","216","0.41"
"218","217","0.53"
"219","218","0.63"
"220","219","0.53"
"221","220","0.34"
"222","221","0.52"
"223","222","0.52"
"224","223","0.38"
"225","224","0.57"
"226","225","0.49"
"227","226","0.47"
"228","227","0.47"
"229","228","0.43"
"230","229","0.45"
"231","230","0.39"
"232","231","0.4"
"233","232","0.45"
"234","233","0.53"
"235","234","0.38"
"236","235","0.44"
"237","236","0.54"
"238","237","0.51"
"239","238","0.43"
"240","239","0.45"
"241","240","0.49"
"242","241","0.49"
"243","242","0.53"
"244","243","0.39"
"245","244","0.43"
"246","245","0.47"
"247","246","0.49"
"248","247","0.39"
"249","248","0.38"
"250","249","0.46"
"251","250","0.41"
"252","251","0.49"
"253","252","0.35"
"254","253","0.4"
"255","254","0.54"
"256","255","0.33"
"257","256","0.55"
"258","257","0.37"
"259","258","0.58"
"260","259","0.38"
"261","260","0.55"
"262","261","0.39"
"263","262","0.45"
"264","263","0.4"
"265","264","0.48"
"266","265","0.58"
"267","266","0.47"
"268","267","0.52"
"269","268","0.5"
"270","269","0.51"
"271","270","0.49"
"272","271","0.35"
"273","272","0.45"
"274","273","0.5"
"275","274","0.43"
"276","275","0.48"
"277","276","0.51"
"278","277","0.55"
"279","278","0.4"
"280","279","0.43"
"281","280","0.46"
"282","281","0.56"
"283","282","0.51"
"284","283","0.43"
"285","284","0.55"
"286","285","0.42"
"287","286","0.36"
"288","287","0.45"
"289","288","0.42"
"290","289","0.53"
"291","290","0.43"
"292","291","0.45"
"293","292","0.43"
"294","293","0.4"
"295","294","0.38"
"296","295","0.54"
"297","296","0.45"
"298","297","0.44"
"299","298","0.45"
"300","299","0.43"
"301","300","0.5"
"302","301","0.45"
"303","302","0.4"
"304","303","0.36"
"305","304","0.39"
"306","305","0.45"
"307","306","0.45"
"308","307","0.4"
"309","308","0.38"
"310","309","0.5"
"311","310","0.44"
"312","311","0.55"
"313","312","0.45"
"314","313","0.44"
"315","314","0.44"
"316","315","0.37"
"317","316","0.49"
"318","317","0.55"
"319","318","0.39"
"320","319","0.5"
"321","320","0.38"
"322","321","0.37"
"323","322","0.45"
"324","323","0.39"
"325","324","0.5"
"326","325","0.45"
"327","326","0.54"
"328","327","0.52"
"329","328","0.5"
"330","329","0.5"
"331","330","0.42"
"332","331","0.41"
"333","332","0.33"
"334","333","0.54"
"335","334","0.55"
"336","335","0.48"
"337","336","0.44"
"338","337","0.47"
"339","338","0.6"
"340","339","0.45"
"341","340","0.51"
"342","341","0.4"
"343","342","0.42"
"344","343","0.43"
"345","344","0.46"
"346","345","0.48"
"347","346","0.46"
"348","347","0.55"
"349","348","0.46"
"350","349","0.31"
"351","350","0.5"
"352","351","0.55"
"353","352","0.46"
"354","353","0.42"
"355","354","0.47"
"356","355","0.51"
"357","356","0.44"
"358","357","0.44"
"359","358","0.47"
"360","359","0.36"
"361","360","0.45"
"362","361","0.5"
"363","362","0.41"
"364","363","0.51"
"365","364","0.49"
"366","365","0.41"
"367","366","0.45"
"368","367","0.41"
"369","368","0.36"
"370","369","0.5"
"371","370","0.46"
"372","371","0.41"
"373","372","0.45"
"374","373","0.45"
"375","374","0.57"
"376","375","0.53"
"377","376","0.43"
"378","377","0.41"
"379","378","0.48"
"380","379","0.47"
"381","380","0.45"
"382","381","0.39"
"383","382","0.43"
"384","383","0.47"
"385","384","0.38"
"386","385","0.44"
"387","386","0.47"
"388","387","0.54"
"389","388","0.41"
"390","389","0.48"
"391","390","0.5"
"392","391","0.34"
"393","392","0.5"
"394","393","0.45"
"395","394","0.51"
"396","395","0.46"
"397","396","0.49"
"398","397","0.39"
"399","398","0.39"
"400","399","0.39"
"401","400","0.49"
"402","401","0.45"
"403","402","0.46"
"404","403","0.36"
"405","404","0.53"
"406","405","0.44"
"407","406","0.42"
"408","407","0.41"
"409","408","0.54"
"410","409","0.55"
"411","410","0.42"
"412","411","0.52"
"413","412","0.35"
"414","413","0.44"
"415","414","0.47"
"416","415","0.4"
"417","416","0.42"
"418","417","0.51"
"419","418","0.53"
"420","419","0.56"
"421","420","0.46"
"422","421","0.62"
"423","422","0.45"
"424","423","0.47"
"425","424","0.49"
"426","425","0.42"
"427","426","0.44"
"428","427","0.47"
"429","428","0.52"
"430","429","0.48"
"431","430","0.57"
"432","431","0.52"
"433","432","0.43"
"434","433","0.48"
"435","434","0.45"
"436","435","0.45"
"437","436","0.57"
"438","437","0.44"
"439","438","0.59"
"440","439","0.54"
"441","440","0.45"
"442","441","0.44"
"443","442","0.39"
"444","443","0.37"
"445","444","0.4"
"446","445","0.51"
"447","446","0.33"
"448","447","0.55"
"449","448","0.37"
"450","449","0.57"
"451","450","0.56"
"452","451","0.52"
"453","452","0.49"
"454","453","0.38"
"455","454","0.46"
"456","455","0.43"
"457","456","0.49"
"458","457","0.35"
"459","458","0.53"
"460","459","0.35"
"461","460","0.55"
"462","461","0.31"
"463","462","0.38"
"464","463","0.46"
"465","464","0.48"
"466","465","0.49"
"467","466","0.43"
"468","467","0.51"
"469","468","0.48"
"470","469","0.41"
"471","470","0.49"
"472","471","0.47"
"473","472","0.49"
"474","473","0.44"
"475","474","0.53"
"476","475","0.46"
"477","476","0.58"
"478","477","0.42"
