"episode","1000 wo map - _step","1000 wo map - neither_coins1"
"1","0","1.1"
"2","1","1.07"
"3","2","1.17"
"4","3","0.95"
"5","4","1.16"
"6","5","1.22"
"7","6","1.01"
"8","7","0.99"
"9","8","1.19"
"10","9","1.1"
"11","10","0.91"
"12","11","0.95"
"13","12","1.11"
"14","13","1.01"
"15","14","1.12"
"16","15","1.27"
"17","16","1.2"
"18","17","1.08"
"19","18","1.24"
"20","19","1"
"21","20","1.25"
"22","21","1.03"
"23","22","1.19"
"24","23","0.92"
"25","24","1.16"
"26","25","0.93"
"27","26","1.15"
"28","27","1.12"
"29","28","1.04"
"30","29","1.17"
"31","30","0.98"
"32","31","1.02"
"33","32","0.96"
"34","33","1.14"
"35","34","1.01"
"36","35","1.15"
"37","36","1.05"
"38","37","1.16"
"39","38","1.17"
"40","39","1.06"
"41","40","1.17"
"42","41","1.04"
"43","42","1.19"
"44","43","1.01"
"45","44","1.06"
"46","45","1.06"
"47","46","1.09"
"48","47","1.05"
"49","48","1.13"
"50","49","1.07"
"51","50","1.01"
"52","51","1.31"
"53","52","1.19"
"54","53","1.2"
"55","54","1.01"
"56","55","1.01"
"57","56","0.94"
"58","57","1.08"
"59","58","1.07"
"60","59","1.07"
"61","60","1.2"
"62","61","1.06"
"63","62","1.18"
"64","63","1.01"
"65","64","1.22"
"66","65","1.1"
"67","66","1.01"
"68","67","1.23"
"69","68","1.13"
"70","69","1.13"
"71","70","1.11"
"72","71","1.03"
"73","72","1.2"
"74","73","1.14"
"75","74","1.14"
"76","75","1.14"
"77","76","1.17"
"78","77","1.16"
"79","78","1.21"
"80","79","1.08"
"81","80","1.08"
"82","81","1.15"
"83","82","1.14"
"84","83","1.02"
"85","84","1.13"
"86","85","1.07"
"87","86","1.1"
"88","87","1.04"
"89","88","1.09"
"90","89","1.09"
"91","90","1.24"
"92","91","1.27"
"93","92","0.89"
"94","93","1.09"
"95","94","1.14"
"96","95","1.12"
"97","96","1.11"
"98","97","1.27"
"99","98","1.27"
"100","99","1.02"
"101","100","1.09"
"102","101","1.1"
"103","102","0.97"
"104","103","1.11"
"105","104","1.12"
"106","105","1.15"
"107","106","1.25"
"108","107","1.11"
"109","108","1.07"
"110","109","1.25"
"111","110","1.22"
"112","111","1.08"
"113","112","1"
"114","113","1.11"
"115","114","1.09"
"116","115","1.11"
"117","116","1.24"
"118","117","1.1"
"119","118","1.2"
"120","119","1.12"
"121","120","1.23"
"122","121","1.09"
"123","122","1.08"
"124","123","1.25"
"125","124","1.13"
"126","125","1.23"
"127","126","1.15"
"128","127","1.02"
"129","128","1.03"
"130","129","1.07"
"131","130","1.1"
"132","131","1.27"
"133","132","1.19"
"134","133","1.07"
"135","134","1.22"
"136","135","1.17"
"137","136","1.17"
"138","137","1.08"
"139","138","1.14"
"140","139","1.14"
"141","140","1.2"
"142","141","0.99"
"143","142","1.2"
"144","143","1.2"
"145","144","1.26"
"146","145","0.92"
"147","146","0.96"
"148","147","1.09"
"149","148","0.91"
"150","149","0.93"
"151","150","1.2"
"152","151","1.08"
"153","152","1.2"
"154","153","1.29"
"155","154","1.32"
"156","155","1.11"
"157","156","1.05"
"158","157","1.36"
"159","158","1.03"
"160","159","1.24"
"161","160","1.24"
"162","161","1.22"
"163","162","1.23"
"164","163","0.9"
"165","164","0.92"
"166","165","1.04"
"167","166","1.18"
"168","167","1.2"
"169","168","1.04"
"170","169","1.21"
"171","170","1.18"
"172","171","1.18"
"173","172","1.1"
"174","173","1.11"
"175","174","1.2"
