"episode","1000 wo map - _step","1000 wo map - other_coins1"
"1","0","1.09"
"2","1","0.91"
"3","2","1.3"
"4","3","1.1"
"5","4","1.08"
"6","5","1.28"
"7","6","1.06"
"8","7","1.16"
"9","8","1.02"
"10","9","1.16"
"11","10","1.15"
"12","11","1.06"
"13","12","1.24"
"14","13","1.15"
"15","14","1.13"
"16","15","1.14"
"17","16","1.15"
"18","17","1.03"
"19","18","1.17"
"20","19","1.11"
"21","20","1.07"
"22","21","1.08"
"23","22","1.26"
"24","23","1.21"
"25","24","0.98"
"26","25","1.17"
"27","26","1.2"
"28","27","1.14"
"29","28","0.92"
"30","29","1.01"
"31","30","1.2"
"32","31","1.02"
"33","32","1.12"
"34","33","1.03"
"35","34","1.05"
"36","35","1.12"
"37","36","1.19"
"38","37","1.15"
"39","38","1.15"
"40","39","1.13"
"41","40","1.23"
"42","41","1.1"
"43","42","1.2"
"44","43","1.12"
"45","44","1.17"
"46","45","1.06"
"47","46","1.06"
"48","47","1.09"
"49","48","1.13"
"50","49","0.98"
"51","50","0.99"
"52","51","1.15"
"53","52","1.13"
"54","53","1.12"
"55","54","1.05"
"56","55","1.17"
"57","56","0.96"
"58","57","1.07"
"59","58","1.17"
"60","59","1.08"
"61","60","1.16"
"62","61","1.11"
"63","62","1.1"
"64","63","1.02"
"65","64","1.14"
"66","65","1.02"
"67","66","1"
"68","67","0.97"
"69","68","1.11"
"70","69","0.97"
"71","70","1.17"
"72","71","1.07"
"73","72","1.04"
"74","73","1.1"
"75","74","1.01"
"76","75","1.32"
"77","76","1.15"
"78","77","0.99"
"79","78","1.18"
"80","79","1.14"
"81","80","1.07"
"82","81","1.08"
"83","82","1.08"
"84","83","1.02"
"85","84","1.15"
"86","85","1.12"
"87","86","1.02"
"88","87","1.08"
"89","88","1.2"
"90","89","1.06"
"91","90","1.18"
"92","91","1.1"
"93","92","1.12"
"94","93","1.01"
"95","94","1.12"
"96","95","1.14"
"97","96","0.95"
"98","97","1.07"
"99","98","1.09"
"100","99","1.11"
"101","100","1.15"
"102","101","1.24"
"103","102","1.12"
"104","103","1.18"
"105","104","1.23"
"106","105","1.25"
"107","106","1.37"
"108","107","1.23"
"109","108","1.23"
"110","109","1.07"
"111","110","1.2"
"112","111","1.17"
"113","112","1.12"
"114","113","1.17"
"115","114","1.09"
"116","115","1.12"
"117","116","0.9"
"118","117","1.02"
"119","118","1.19"
"120","119","0.9"
"121","120","1.32"
"122","121","0.94"
"123","122","1.25"
"124","123","1"
"125","124","1.18"
"126","125","1.08"
"127","126","1.27"
"128","127","1.19"
"129","128","1.11"
"130","129","1.18"
"131","130","1.18"
"132","131","1.08"
"133","132","1.07"
"134","133","1.08"
"135","134","1.23"
"136","135","1.28"
"137","136","1.14"
"138","137","1.1"
"139","138","1.11"
"140","139","1.19"
"141","140","1.25"
"142","141","1.23"
"143","142","1.18"
"144","143","1.17"
"145","144","1.07"
"146","145","1.14"
"147","146","1.23"
"148","147","1.29"
"149","148","1.05"
"150","149","1.26"
"151","150","1.16"
"152","151","1.05"
"153","152","1.05"
"154","153","1.21"
"155","154","1.3"
"156","155","1.09"
"157","156","1.2"
"158","157","1.07"
"159","158","1.18"
"160","159","1.08"
"161","160","1.17"
"162","161","1.13"
"163","162","1.01"
"164","163","1.03"
"165","164","1.16"
"166","165","1.08"
"167","166","1.21"
"168","167","1"
"169","168","1.16"
"170","169","1.35"
"171","170","1.19"
"172","171","1.26"
"173","172","1.28"
"174","173","1.18"
"175","174","1.19"
"176","175","1.14"
"177","176","1.1"
"178","177","1.08"
"179","178","1.2"
"180","179","1.08"
"181","180","1.21"
"182","181","1"
"183","182","1.27"
"184","183","1.21"
"185","184","1.09"
"186","185","1.27"
"187","186","1.1"
"188","187","1.05"
"189","188","1.43"
"190","189","1"
"191","190","1.14"
"192","191","0.9"
"193","192","1.16"
"194","193","1.25"
"195","194","1.24"
"196","195","1.1"
"197","196","1.08"
"198","197","0.89"
"199","198","0.92"
"200","199","0.97"
"201","200","0.86"
"202","201","1.14"
"203","202","1.09"
"204","203","1.16"
"205","204","1.08"
"206","205","1.18"
"207","206","1.13"
"208","207","1.1"
"209","208","1.13"
"210","209","0.99"
"211","210","1.08"
"212","211","0.94"
"213","212","1.03"
"214","213","1.08"
"215","214","1.15"
"216","215","1.09"
"217","216","1.08"
"218","217","1.18"
"219","218","1.03"
"220","219","1.34"
"221","220","1.13"
"222","221","1.19"
"223","222","1.14"
"224","223","1.23"
"225","224","1.03"
"226","225","1.07"
"227","226","1.19"
"228","227","0.96"
"229","228","0.95"
"230","229","0.99"
"231","230","0.97"
"232","231","1.1"
"233","232","1.17"
"234","233","1.17"
"235","234","1.23"
"236","235","1.25"
"237","236","1.01"
"238","237","1.24"
"239","238","1.07"
"240","239","1.09"
"241","240","1.22"
"242","241","1.14"
"243","242","1.13"
"244","243","0.94"
"245","244","1.09"
"246","245","1.13"
"247","246","1.06"
"248","247","1.1"
"249","248","1.18"
"250","249","1.09"
"251","250","1.18"
"252","251","1.04"
"253","252","0.96"
"254","253","1.13"
"255","254","1.04"
"256","255","0.99"
"257","256","1.22"
"258","257","1.13"
"259","258","1.09"
"260","259","1.32"
"261","260","1.03"
"262","261","1.28"
"263","262","1.29"
"264","263","1.22"
"265","264","1.19"
"266","265","1.13"
"267","266","1.09"
"268","267","1.02"
"269","268","1.07"
"270","269","1.18"
"271","270","1.05"
"272","271","1.2"
"273","272","1.15"
"274","273","1.08"
"275","274","1.23"
"276","275","1.2"
"277","276","1.25"
"278","277","1.09"
"279","278","1.21"
"280","279","1.3"
"281","280","1.02"
"282","281","1.19"
"283","282","1.09"
"284","283","1.16"
"285","284","1.16"
"286","285","1.14"
"287","286","1.06"
"288","287","1.13"
"289","288","1.25"
"290","289","1.28"
"291","290","1.27"
"292","291","1.25"
"293","292","1.08"
"294","293","1.08"
"295","294","1.29"
"296","295","1.24"
"297","296","1.13"
"298","297","1.31"
"299","298","1.26"
"300","299","1.15"
"301","300","1.18"
"302","301","1.28"
"303","302","1.23"
"304","303","1.12"
"305","304","1.18"
"306","305","1.1"
"307","306","1.16"
"308","307","1.11"
"309","308","1.18"
"310","309","1.3"
"311","310","1.06"
"312","311","1.2"
"313","312","1.3"
"314","313","1.12"
"315","314","0.99"
"316","315","1.16"
"317","316","1.04"
"318","317","1.09"
"319","318","1.06"
"320","319","1.12"
"321","320","1.13"
"322","321","1.11"
"323","322","1.16"
"324","323","1.17"
"325","324","1.36"
"326","325","1.07"
"327","326","1.13"
