"episode","1000 wo map - _step","1000 wo map - reward"
"1","0","6.63"
"2","1","6.45"
"3","2","7.83"
"4","3","7.29"
"5","4","4.84"
"6","5","7.27"
"7","6","6.98"
"8","7","6.22"
"9","8","4.7"
"10","9","5.8"
"11","10","6.79"
"12","11","5.31"
"13","12","5.43"
"14","13","6.41"
"15","14","6.04"
"16","15","5.18"
"17","16","4.71"
"18","17","5.73"
"19","18","5.83"
"20","19","5.05"
"21","20","6.44"
"22","21","7.6"
"23","22","6.58"
"24","23","7.88"
"25","24","4.71"
"26","25","6.74"
"27","26","6.74"
"28","27","5.95"
"29","28","5.81"
"30","29","5.81"
"31","30","8.63"
"32","31","6.44"
"33","32","6.34"
"34","33","6.77"
"35","34","5.43"
"36","35","6.14"
"37","36","6.53"
"38","37","6.95"
"39","38","7.94"
"40","39","4.8"
"41","40","6.54"
"42","41","6.92"
"43","42","6.03"
"44","43","6.29"
"45","44","7.18"
"46","45","6.09"
"47","46","5"
"48","47","4.66"
"49","48","6.58"
"50","49","4.52"
"51","50","6.52"
"52","51","5.7"
"53","52","6.15"
"54","53","4.53"
"55","54","6.1"
"56","55","6.44"
"57","56","6.75"
"58","57","7.73"
"59","58","6.08"
"60","59","7.09"
"61","60","6.39"
"62","61","7.05"
"63","62","5.03"
"64","63","6.35"
"65","64","6.3"
"66","65","6.52"
"67","66","5.26"
"68","67","6.35"
"69","68","6.15"
"70","69","5.41"
"71","70","5.2"
"72","71","6.7"
"73","72","6.51"
"74","73","7.42"
"75","74","5.18"
"76","75","5.44"
"77","76","8.49"
"78","77","5.86"
"79","78","5.88"
"80","79","6.4"
"81","80","5.12"
"82","81","5.57"
"83","82","6.24"
"84","83","6.46"
"85","84","7.23"
"86","85","5.1"
"87","86","6.98"
"88","87","7.2"
"89","88","6.69"
"90","89","6.99"
"91","90","6.65"
"92","91","5.23"
"93","92","6.96"
"94","93","4.59"
"95","94","6.8"
"96","95","6.37"
"97","96","5.72"
"98","97","6.85"
"99","98","5.34"
"100","99","6.5"
"101","100","7.41"
"102","101","6.66"
"103","102","6.55"
"104","103","7.15"
"105","104","6.07"
"106","105","7.81"
"107","106","7.02"
"108","107","6.43"
"109","108","7.09"
"110","109","7.01"
"111","110","7.16"
"112","111","7.54"
"113","112","6.3"
"114","113","7.01"
"115","114","7.64"
"116","115","6.03"
"117","116","6"
"118","117","5.36"
"119","118","6.65"
"120","119","4.67"
"121","120","7.91"
"122","121","7.19"
"123","122","7.26"
"124","123","5.02"
"125","124","5.6"
"126","125","5.77"
"127","126","6.08"
"128","127","7.95"
"129","128","5.29"
"130","129","6.95"
"131","130","7.18"
"132","131","3.98"
"133","132","5.14"
"134","133","6.66"
"135","134","6.81"
"136","135","6.67"
"137","136","4.42"
"138","137","6.57"
"139","138","6.85"
"140","139","5.78"
"141","140","6.51"
"142","141","6.83"
"143","142","5.85"
"144","143","7.91"
"145","144","5.78"
"146","145","7.23"
"147","146","6.68"
"148","147","6.47"
"149","148","7.12"
"150","149","7.42"
"151","150","6.78"
"152","151","6.82"
"153","152","5.43"
"154","153","7.62"
"155","154","5.57"
"156","155","6.75"
"157","156","8.08"
"158","157","4.19"
"159","158","6.08"
"160","159","6.73"
"161","160","5.94"
"162","161","4.09"
"163","162","7.21"
"164","163","6.49"
"165","164","7.48"
"166","165","7.34"
"167","166","7.6"
"168","167","6.22"
"169","168","5.86"
"170","169","6.38"
"171","170","8.58"
"172","171","7.39"
"173","172","7.85"
"174","173","7.26"
"175","174","6.22"
"176","175","7.76"
"177","176","6.75"
"178","177","6.86"
"179","178","9.17"
"180","179","7.67"
"181","180","6.17"
"182","181","7.02"
"183","182","5.82"
"184","183","7.9"
"185","184","8.78"
"186","185","7.8"
"187","186","7.81"
"188","187","8.48"
"189","188","7.41"
"190","189","6.66"
"191","190","6.3"
"192","191","6.11"
"193","192","7.73"
"194","193","7.51"
"195","194","6.6"
"196","195","5.16"
"197","196","6.18"
"198","197","5.2"
"199","198","3.69"
"200","199","7.01"
"201","200","6.43"
"202","201","6.72"
"203","202","6.13"
"204","203","7.99"
"205","204","5.17"
"206","205","6.72"
"207","206","6.99"
"208","207","7.33"
"209","208","6.24"
"210","209","6.72"
"211","210","7.87"
"212","211","6.04"
"213","212","4.18"
"214","213","5.8"
"215","214","4.89"
"216","215","7.07"
"217","216","7.19"
"218","217","6.79"
"219","218","5.43"
"220","219","7.08"
"221","220","6.47"
"222","221","7.62"
"223","222","6.5"
"224","223","7.03"
"225","224","5.19"
"226","225","5.12"
"227","226","6.39"
"228","227","6.22"
"229","228","5.83"
"230","229","4.86"
"231","230","6.88"
"232","231","6.92"
"233","232","6.01"
"234","233","7.06"
"235","234","7.09"
"236","235","6.6"
"237","236","7.41"
"238","237","6.33"
"239","238","5.96"
"240","239","6.24"
"241","240","7.54"
"242","241","7.19"
"243","242","5.56"
"244","243","5.18"
"245","244","7.63"
"246","245","5.61"
"247","246","5.81"
"248","247","6.64"
"249","248","7.25"
"250","249","6.27"
"251","250","7.41"
"252","251","5.77"
"253","252","5.13"
"254","253","6.07"
"255","254","7"
"256","255","6.32"
"257","256","6.44"
"258","257","6.11"
"259","258","5.33"
"260","259","5.87"
"261","260","6.18"
"262","261","7.73"
"263","262","7.51"
"264","263","6.91"
"265","264","6.77"
"266","265","7.53"
"267","266","6.28"
"268","267","7.39"
