"episode","1000 wo map - _step","1000 wo map - self_coins1"
"1","0","1.16"
"2","1","1.16"
"3","2","1.13"
"4","3","1"
"5","4","0.96"
"6","5","1.3"
"7","6","1.18"
"8","7","1.11"
"9","8","1.33"
"10","9","1.14"
"11","10","1.12"
"12","11","1.1"
"13","12","1.07"
"14","13","1.02"
"15","14","1.23"
"16","15","0.97"
"17","16","0.9"
"18","17","0.97"
"19","18","1.01"
"20","19","1.1"
"21","20","1.22"
"22","21","1.22"
"23","22","1.11"
"24","23","1.32"
"25","24","1.02"
"26","25","1.07"
"27","26","1.09"
"28","27","0.97"
"29","28","0.99"
"30","29","1.11"
"31","30","1.08"
"32","31","1.11"
"33","32","1.03"
"34","33","1.12"
"35","34","1.09"
"36","35","1.21"
"37","36","1.14"
"38","37","1.13"
"39","38","1.16"
"40","39","0.98"
"41","40","1.15"
"42","41","1.06"
"43","42","1.01"
"44","43","1.18"
"45","44","1.19"
"46","45","0.93"
"47","46","1.02"
"48","47","1.06"
"49","48","1.17"
"50","49","1.09"
"51","50","1.17"
"52","51","1.22"
"53","52","1.16"
"54","53","1.05"
"55","54","0.98"
"56","55","1.12"
"57","56","1.27"
"58","57","1.23"
"59","58","1.11"
"60","59","1.2"
"61","60","1.25"
"62","61","1.03"
"63","62","1.1"
"64","63","0.97"
"65","64","1.11"
"66","65","1.2"
"67","66","0.9"
"68","67","1.16"
"69","68","1.16"
"70","69","0.93"
"71","70","1.17"
"72","71","1.25"
"73","72","1.15"
"74","73","1.1"
"75","74","1.21"
"76","75","1.04"
"77","76","1.23"
"78","77","1.17"
"79","78","0.99"
"80","79","1.18"
"81","80","1.31"
"82","81","1.04"
"83","82","1.11"
"84","83","1.07"
"85","84","1.1"
"86","85","0.97"
"87","86","1.24"
"88","87","1.23"
"89","88","1.12"
"90","89","1.34"
"91","90","1.24"
"92","91","1.12"
"93","92","1.06"
"94","93","1.06"
"95","94","1.25"
"96","95","1.11"
"97","96","1.1"
"98","97","1.08"
"99","98","1.2"
"100","99","1.11"
"101","100","1.17"
"102","101","1.24"
"103","102","1"
"104","103","1.22"
"105","104","0.98"
"106","105","1.23"
"107","106","1.18"
"108","107","1.2"
"109","108","1.15"
"110","109","1.27"
"111","110","1.08"
"112","111","1.25"
"113","112","1.06"
"114","113","1.31"
"115","114","1.23"
"116","115","1.07"
"117","116","0.94"
"118","117","1.11"
"119","118","1.05"
"120","119","1.16"
"121","120","1.17"
"122","121","1.38"
"123","122","1.04"
"124","123","1.14"
"125","124","1.23"
"126","125","1.17"
"127","126","1.15"
"128","127","1.24"
"129","128","1.13"
"130","129","1.14"
"131","130","1.12"
"132","131","1.21"
"133","132","1.03"
"134","133","0.94"
"135","134","0.95"
"136","135","1.12"
"137","136","0.99"
"138","137","1.11"
"139","138","1.1"
"140","139","1.16"
"141","140","1.2"
"142","141","1.13"
"143","142","1.04"
"144","143","1.24"
"145","144","1.35"
"146","145","1.03"
"147","146","1.03"
"148","147","1.17"
"149","148","1.21"
"150","149","1.32"
"151","150","1.13"
"152","151","1.23"
"153","152","1.22"
"154","153","1.2"
"155","154","0.91"
"156","155","1.18"
"157","156","1.15"
"158","157","1.07"
"159","158","0.97"
"160","159","1.08"
"161","160","1.04"
"162","161","0.98"
"163","162","1.08"
"164","163","0.98"
"165","164","1.19"
"166","165","1.22"
"167","166","1.21"
"168","167","1.34"
"169","168","1.13"
"170","169","1.15"
"171","170","1.23"
"172","171","1.11"
"173","172","1.18"
"174","173","1.15"
"175","174","1.18"
"176","175","1.24"
"177","176","1.09"
"178","177","1.2"
"179","178","1.31"
"180","179","1.11"
"181","180","1.24"
"182","181","0.99"
"183","182","1.05"
"184","183","1.23"
"185","184","1.28"
"186","185","1.23"
"187","186","1.25"
"188","187","1.23"
"189","188","1.18"
"190","189","1.06"
"191","190","1.18"
"192","191","1.2"
"193","192","1.27"
"194","193","1.18"
"195","194","1.21"
"196","195","1.08"
"197","196","1.08"
"198","197","0.99"
"199","198","1"
"200","199","1.11"
"201","200","1.07"
"202","201","1.2"
"203","202","0.94"
"204","203","1.15"
"205","204","1.07"
"206","205","1.15"
"207","206","1.21"
"208","207","1.24"
"209","208","1.27"
"210","209","1.2"
"211","210","1.18"
"212","211","1.08"
"213","212","0.99"
"214","213","1.29"
"215","214","1.01"
"216","215","1.29"
"217","216","1.31"
"218","217","1.09"
"219","218","1.1"
"220","219","1.07"
"221","220","1.17"
"222","221","1.27"
"223","222","0.87"
"224","223","1.18"
"225","224","1.28"
"226","225","0.96"
"227","226","1.21"
"228","227","1.15"
"229","228","1.24"
"230","229","1.18"
"231","230","1.22"
"232","231","1.22"
"233","232","1.01"
"234","233","1.12"
"235","234","1.15"
"236","235","0.99"
"237","236","1.15"
"238","237","1.09"
"239","238","1.14"
"240","239","1.14"
"241","240","1.06"
"242","241","1"
"243","242","1.03"
"244","243","1.06"
"245","244","1.19"
"246","245","1.19"
"247","246","1.17"
"248","247","1"
"249","248","1.21"
"250","249","1.12"
"251","250","1.27"
"252","251","1.17"
"253","252","1.16"
"254","253","1.04"
