"episode","50 hns som no som - _step","50 hns som no som - reward"
"1","0","0.8"
"2","1","0.8"
"3","2","0"
"4","3","0.6"
"5","4","0.2"
"6","5","0"
"7","6","0.4"
"8","7","0.2"
"9","8","-0.8"
"10","9","1.2"
"11","10","0"
"12","11","0"
"13","12","0.2"
"14","13","1"
"15","14","0.2"
"16","15","1"
"17","16","1"
"18","17","0.4"
"19","18","0.4"
"20","19","0.2"
"21","20","0.8"
"22","21","0.6"
"23","22","1"
"24","23","2"
"25","24","0.2"
"26","25","0.6"
"27","26","1.2"
"28","27","0.8"
"29","28","0.8"
"30","29","1.2"
"31","30","0.8"
"32","31","1.2"
"33","32","0"
"34","33","0.4"
"35","34","0.2"
"36","35","1"
"37","36","0"
"38","37","0.2"
"39","38","2.6"
"40","39","1.4"
"41","40","0.2"
"42","41","1.8"
"43","42","0.8"
"44","43","2.2"
"45","44","0.2"
"46","45","2.2"
"47","46","1.8"
"48","47","0.2"
"49","48","0.6"
"50","49","0.2"
"51","50","0.8"
"52","51","1.2"
"53","52","0.2"
"54","53","0.6"
"55","54","1.8"
"56","55","1"
"57","56","1"
"58","57","2"
"59","58","2.2"
"60","59","0.2"
"61","60","0.4"
"62","61","2.6"
"63","62","0.8"
"64","63","2.6"
"65","64","1.6"
"66","65","1.6"
"67","66","2.4"
"68","67","4.4"
"69","68","0.8"
"70","69","0.6"
"71","70","0.4"
"72","71","-1.4"
"73","72","1.6"
"74","73","2.6"
"75","74","2.6"
"76","75","1.2"
"77","76","0.8"
"78","77","2.2"
"79","78","1.2"
"80","79","1.4"
"81","80","2.8"
"82","81","2.8"
"83","82","3.4"
"84","83","3"
"85","84","3"
"86","85","3"
"87","86","3.2"
"88","87","2.2"
"89","88","3"
"90","89","3.6"
"91","90","2.8"
"92","91","2.8"
"93","92","3.2"
"94","93","3.2"
"95","94","2.8"
"96","95","3.2"
"97","96","2.8"
"98","97","2.6"
"99","98","2"
"100","99","2.6"
"101","100","2.6"
"102","101","2.2"
"103","102","1"
"104","103","3"
"105","104","5.2"
"106","105","3.8"
"107","106","4.4"
"108","107","2.2"
"109","108","2.4"
"110","109","3"
"111","110","1.4"
"112","111","1.6"
"113","112","4.4"
"114","113","1.6"
"115","114","2.6"
"116","115","3.2"
"117","116","1.6"
"118","117","1.4"
"119","118","4.2"
"120","119","5"
"121","120","4.4"
"122","121","4"
"123","122","7"
"124","123","2.8"
"125","124","3.4"
"126","125","4.8"
"127","126","2.8"
"128","127","5.8"
"129","128","4.6"
"130","129","3.2"
"131","130","4.2"
"132","131","1.2"
"133","132","1.2"
"134","133","4.6"
"135","134","3.6"
"136","135","4"
"137","136","3.6"
"138","137","1.8"
"139","138","4.8"
"140","139","4.2"
"141","140","3.6"
"142","141","4.8"
"143","142","2.6"
"144","143","2.2"
"145","144","5.2"
"146","145","3.2"
"147","146","3"
"148","147","2.2"
"149","148","3.8"
"150","149","3.4"
"151","150","4.2"
"152","151","5"
"153","152","4"
"154","153","1.6"
"155","154","7.2"
"156","155","3.6"
"157","156","5.6"
"158","157","4"
"159","158","1.6"
"160","159","4.4"
"161","160","4.6"
"162","161","3.8"
"163","162","6"
"164","163","3.6"
"165","164","2.6"
"166","165","6.8"
"167","166","3.2"
"168","167","2.4"
"169","168","2.6"
"170","169","6.4"
"171","170","6.2"
"172","171","3.8"
"173","172","5"
"174","173","3"
"175","174","3.8"
"176","175","3.6"
"177","176","5.2"
"178","177","6.2"
"179","178","6.4"
"180","179","6.4"
"181","180","6"
"182","181","5.8"
"183","182","4"
"184","183","6.8"
"185","184","4.8"
"186","185","7"
"187","186","7"
"188","187","4"
"189","188","2.8"
"190","189","3.6"
"191","190","8.2"
"192","191","2.8"
"193","192","5.8"
"194","193","3.8"
"195","194","5.2"
"196","195","5.6"
"197","196","5.4"
"198","197","5.6"
"199","198","6"
"200","199","5.6"
"201","200","7"
"202","201","5.8"
"203","202","3.6"
"204","203","6.6"
"205","204","6.2"
"206","205","5.2"
"207","206","3.2"
"208","207","3.8"
"209","208","7.2"
"210","209","5"
"211","210","6.2"
"212","211","5"
"213","212","5.8"
"214","213","5.6"
"215","214","4.6"
"216","215","6.2"
"217","216","2.4"
"218","217","6.6"
"219","218","3.4"
"220","219","4.8"
"221","220","4"
"222","221","6.4"
"223","222","5"
"224","223","2"
"225","224","6.6"
"226","225","6.6"
"227","226","5.8"
"228","227","4"
"229","228","6"
"230","229","6"
"231","230","4.2"
"232","231","7.2"
"233","232","3.8"
"234","233","3.2"
"235","234","7.8"
"236","235","5"
"237","236","2.6"
"238","237","3.6"
"239","238","6"
"240","239","4.2"
"241","240","3.8"
"242","241","5"
"243","242","5"
"244","243","8"
"245","244","4.4"
"246","245","5.8"
"247","246","6"
"248","247","6"
"249","248","5.2"
"250","249","4.8"
"251","250","7.8"
"252","251","2.6"
"253","252","5.6"
"254","253","2.4"
"255","254","4.2"
"256","255","4.8"
"257","256","3.8"
"258","257","3.6"
"259","258","4"
"260","259","5"
"261","260","4.8"
"262","261","4.6"
"263","262","7.2"
"264","263","5"
"265","264","1.8"
"266","265","5.6"
"267","266","7.2"
"268","267","4.2"
"269","268","5.6"
"270","269","0.6"
"271","270","5"
"272","271","5.4"
"273","272","5.8"
"274","273","6"
"275","274","4.2"
"276","275","7"
"277","276","6.8"
"278","277","2.4"
"279","278","7.6"
"280","279","7"
"281","280","6"
"282","281","2.6"
"283","282","4"
"284","283","7.8"
"285","284","3"
"286","285","3.6"
"287","286","3.8"
"288","287","8.2"
"289","288","7"
"290","289","2"
"291","290","2.6"
"292","291","4.4"
"293","292","7"
"294","293","3.8"
"295","294","5.8"
"296","295","5.8"
"297","296","3.4"
"298","297","4.4"
"299","298","5"
"300","299","4.2"
"301","300","5.6"
"302","301","5.2"
"303","302","1.6"
"304","303","7.2"
"305","304","4.8"
"306","305","5.6"
"307","306","6"
"308","307","6.6"
"309","308","3.6"
"310","309","3.6"
"311","310","3.8"
"312","311","9"
"313","312","7"
"314","313","3.8"
"315","314","8.8"
"316","315","5.6"
"317","316","4"
"318","317","5.4"
"319","318","6.2"
"320","319","6.8"
"321","320","6.8"
"322","321","4.6"
"323","322","7.8"
"324","323","7.8"
"325","324","3.8"
"326","325","6.2"
"327","326","4.6"
"328","327","5"
"329","328","6.2"
"330","329","8"
"331","330","7.6"
"332","331","5.2"
"333","332","3.2"
"334","333","3.8"
"335","334","6.8"
"336","335","5.2"
"337","336","5.8"
"338","337","6.2"
"339","338","5.4"
"340","339","4.6"
"341","340","8"
"342","341","8.6"
"343","342","6"
"344","343","5.8"
"345","344","8"
"346","345","4.2"
"347","346","7.4"
"348","347","5.4"
"349","348","5.8"
"350","349","10"
"351","350","4.8"
"352","351","4.4"
"353","352","6.8"
"354","353","5.4"
"355","354","7.6"
"356","355","7.8"
"357","356","7.8"
"358","357","10"
"359","358","6.8"
"360","359","4.2"
"361","360","4.6"
"362","361","3.2"
"363","362","7.8"
"364","363","5.6"
"365","364","5.4"
"366","365","5.2"
"367","366","8.4"
"368","367","2"
"369","368","4.6"
"370","369","4.8"
"371","370","7.8"
"372","371","4"
"373","372","5.4"
"374","373","5.4"
"375","374","7.8"
"376","375","7.8"
"377","376","8.6"
"378","377","5.8"
"379","378","2.8"
"380","379","7.8"
"381","380","6.6"
"382","381","7.4"
"383","382","6.6"
"384","383","5.8"
"385","384","9.8"
"386","385","7.6"
"387","386","5.2"
"388","387","4.4"
"389","388","7.6"
"390","389","7.2"
"391","390","8.8"
"392","391","8.2"
"393","392","4.8"
"394","393","6"
"395","394","6.2"
"396","395","3.4"
"397","396","6.6"
"398","397","8.2"
"399","398","5.2"
"400","399","3.4"
"401","400","4.4"
"402","401","8.8"
"403","402","5.2"
"404","403","7.6"
"405","404","3.8"
"406","405","6.4"
"407","406","4"
"408","407","7.4"
"409","408","5.8"
"410","409","4.6"
"411","410","4.4"
"412","411","5.8"
"413","412","5.4"
"414","413","6"
"415","414","8.4"
"416","415","7.8"
"417","416","6.6"
"418","417","6.4"
"419","418","6.4"
"420","419","4.8"
"421","420","7"
"422","421","7.6"
"423","422","3.8"
"424","423","5.6"
"425","424","5.2"
"426","425","8.2"
"427","426","4"
"428","427","6.8"
"429","428","5"
"430","429","8.4"
"431","430","6.6"
"432","431","5.2"
"433","432","9.4"
"434","433","6.8"
"435","434","4"
"436","435","8"
"437","436","6"
"438","437","7.8"
"439","438","5.8"
"440","439","4.4"
"441","440","6.2"
"442","441","6.4"
"443","442","9.4"
"444","443","5.2"
"445","444","6.4"
"446","445","6.4"
"447","446","7.2"
"448","447","8"
"449","448","8.2"
"450","449","6"
"451","450","8.8"
"452","451","8.4"
"453","452","6"
"454","453","7.2"
"455","454","6.8"
"456","455","9.6"
"457","456","4.8"
"458","457","6.2"
"459","458","11"
"460","459","4.6"
"461","460","4.8"
"462","461","6"
"463","462","9.8"
"464","463","8.2"
"465","464","5.8"
"466","465","5"
"467","466","6.6"
"468","467","6.6"
"469","468","7.2"
"470","469","6.6"
"471","470","9"
"472","471","6.4"
"473","472","10.8"
"474","473","6.2"
"475","474","5"
"476","475","3.6"
"477","476","5.6"
"478","477","5.6"
"479","478","9.2"
"480","479","2.6"
"481","480","5.8"
"482","481","5.6"
"483","482","3.6"
"484","483","5.8"
"485","484","8.2"
"486","485","4.6"
"487","486","6"
"488","487","5"
"489","488","4"
"490","489","4.2"
"491","490","7.4"
"492","491","5.2"
"493","492","6.2"
"494","493","6.2"
"495","494","7.2"
"496","495","5.2"
"497","496","6.8"
"498","497","4.6"
"499","498","9"
"500","499","7.4"
"501","500","9.2"
"502","501","5.6"
"503","502","6.4"
"504","503","7.8"
"505","504","3.6"
"506","505","5.6"
"507","506","6"
"508","507","5"
"509","508","5.4"
"510","509","6.6"
"511","510","5.6"
"512","511","4.8"
"513","512","5.2"
"514","513","7.8"
"515","514","5.2"
"516","515","6.6"
"517","516","7.6"
"518","517","8.4"
"519","518","5.8"
"520","519","6.6"
"521","520","6"
"522","521","4.6"
"523","522","6"
"524","523","9.4"
"525","524","3.8"
"526","525","6.2"
"527","526","8.2"
"528","527","5.2"
"529","528","5.4"
"530","529","7.4"
"531","530","9"
"532","531","5.4"
"533","532","5.6"
"534","533","7"
"535","534","5.6"
"536","535","5.6"
"537","536","5"
"538","537","8"
"539","538","6.4"
"540","539","6.4"
"541","540","5.4"
"542","541","7.8"
"543","542","7.2"
"544","543","6"
"545","544","6.2"
"546","545","5.2"
"547","546","6"
"548","547","6"
"549","548","4.6"
"550","549","4.4"
"551","550","6.2"
"552","551","8"
"553","552","6.6"
"554","553","5"
"555","554","7.2"
"556","555","5"
"557","556","5.8"
"558","557","8.4"
"559","558","7.8"
"560","559","5.6"
"561","560","7.2"
"562","561","5.8"
"563","562","6.8"
"564","563","6"
"565","564","7.4"
"566","565","4.6"
"567","566","7.4"
"568","567","5.6"
"569","568","7"
"570","569","7.4"
"571","570","6.4"
"572","571","6.4"
"573","572","8"
"574","573","6.2"
"575","574","6.2"
"576","575","7.2"
"577","576","7.4"
"578","577","6.2"
"579","578","7.8"
"580","579","5.2"
"581","580","8.6"
"582","581","6"
"583","582","5.4"
"584","583","4.4"
"585","584","5.8"
"586","585","6.6"
"587","586","9.8"
"588","587","8.6"
"589","588","7.6"
"590","589","9.8"
"591","590","9.8"
"592","591","6.8"
"593","592","5.4"
"594","593","5.8"
"595","594","3.8"
"596","595","7.8"
"597","596","8"
"598","597","6.4"
"599","598","4.4"
"600","599","6.2"
"601","600","7"
"602","601","8.6"
"603","602","7.6"
"604","603","6.2"
"605","604","8.6"
"606","605","5.8"
"607","606","5"
"608","607","6.8"
"609","608","5.4"
"610","609","6.2"
"611","610","7.6"
"612","611","9"
"613","612","7.4"
"614","613","3.8"
"615","614","9.6"
"616","615","5.8"
"617","616","5.4"
"618","617","8.2"
"619","618","6"
"620","619","6.4"
"621","620","6.6"
"622","621","7.2"
"623","622","6.6"
"624","623","4.4"
"625","624","5.6"
"626","625","9.8"
"627","626","6"
"628","627","6"
"629","628","8.4"
"630","629","6.4"
"631","630","5.2"
"632","631","9.2"
"633","632","6.4"
"634","633","7.6"
"635","634","9.6"
"636","635","6.2"
"637","636","5.8"
"638","637","11.2"
"639","638","8.6"
"640","639","7"
"641","640","6"
"642","641","8.6"
"643","642","4.8"
"644","643","7.4"
"645","644","9.6"
"646","645","7.8"
"647","646","9.8"
"648","647","7.8"
"649","648","8.2"
"650","649","5.4"
"651","650","5.8"
"652","651","5.6"
"653","652","4.6"
"654","653","6.6"
"655","654","7.6"
"656","655","5.6"
"657","656","12.2"
"658","657","7.4"
"659","658","7.8"
"660","659","6.4"
"661","660","9.6"
"662","661","4.6"
"663","662","7.6"
"664","663","8.8"
"665","664","7.2"
"666","665","8.6"
"667","666","7"
"668","667","7.2"
"669","668","5.8"
"670","669","8.2"
"671","670","10.2"
"672","671","8.8"
"673","672","7.8"
"674","673","5"
"675","674","9.2"
"676","675","6.4"
"677","676","6.6"
"678","677","10"
"679","678","6.8"
"680","679","8"
"681","680","9.2"
"682","681","7.6"
"683","682","8"
"684","683","12.2"
"685","684","10"
"686","685","9.4"
"687","686","6.6"
"688","687","8.4"
"689","688","7.4"
"690","689","7"
"691","690","7.4"
"692","691","8.6"
"693","692","6"
"694","693","5.2"
"695","694","5.8"
"696","695","7.8"
"697","696","6.6"
"698","697","6.6"
"699","698","5"
"700","699","9.8"
"701","700","8"
"702","701","7.4"
