"episode","50 hns with additional head - _step","50 hns with additional head - reward"
"1","0","0.4"
"2","1","0"
"3","2","0.6"
"4","3","0.6"
"5","4","1"
"6","5","0.6"
"7","6","-0.2"
"8","7","0.6"
"9","8","0.2"
"10","9","0"
"11","10","0.6"
"12","11","0.6"
"13","12","-0.2"
"14","13","0.4"
"15","14","0.4"
"16","15","0.2"
"17","16","0.6"
"18","17","0.2"
"19","18","0.4"
"20","19","0.8"
"21","20","1.8"
"22","21","0.8"
"23","22","0.6"
"24","23","-0.4"
"25","24","0.4"
"26","25","1"
"27","26","0.8"
"28","27","0.8"
"29","28","0.4"
"30","29","1.2"
"31","30","0.8"
"32","31","1.2"
"33","32","0.4"
"34","33","0.8"
"35","34","0.6"
"36","35","0.4"
"37","36","1"
"38","37","1.2"
"39","38","-1"
"40","39","0.6"
"41","40","1.2"
"42","41","0.4"
"43","42","0"
"44","43","2"
"45","44","0.2"
"46","45","0.8"
"47","46","2.6"
"48","47","0.6"
"49","48","1.4"
"50","49","0.4"
"51","50","1.2"
"52","51","0.2"
"53","52","1.4"
"54","53","0.2"
"55","54","0.6"
"56","55","0.8"
"57","56","3"
"58","57","0.4"
"59","58","-1"
"60","59","1"
"61","60","1.2"
"62","61","2"
"63","62","0.4"
"64","63","2.4"
"65","64","0.6"
"66","65","1.6"
"67","66","1.4"
"68","67","1.2"
"69","68","2"
"70","69","1"
"71","70","0.8"
"72","71","1"
"73","72","1.8"
"74","73","1.6"
"75","74","1.4"
"76","75","1.6"
"77","76","1.2"
"78","77","1.4"
"79","78","-0.2"
"80","79","2"
"81","80","2"
"82","81","0.6"
"83","82","0.4"
"84","83","0.6"
"85","84","2.2"
"86","85","2"
"87","86","0.4"
"88","87","1.2"
"89","88","1.8"
"90","89","1.8"
"91","90","1.4"
"92","91","2"
"93","92","1"
"94","93","2.8"
"95","94","1.2"
"96","95","1.4"
"97","96","3"
"98","97","2"
"99","98","1.2"
"100","99","0"
"101","100","1.4"
"102","101","1.4"
"103","102","2"
"104","103","1.2"
"105","104","0.6"
"106","105","3.4"
"107","106","2"
"108","107","2.8"
"109","108","2.2"
"110","109","2.2"
"111","110","3.4"
"112","111","3.2"
"113","112","0.8"
"114","113","1"
"115","114","2.8"
"116","115","2.6"
"117","116","0.2"
"118","117","2.2"
"119","118","1.4"
"120","119","0.8"
"121","120","1.8"
"122","121","2.2"
"123","122","2.8"
"124","123","3.4"
"125","124","2"
"126","125","3"
"127","126","1.8"
"128","127","1.2"
"129","128","1.8"
"130","129","3"
"131","130","1.8"
"132","131","2.8"
"133","132","-0.4"
"134","133","2.6"
"135","134","3"
"136","135","2.4"
"137","136","0.6"
"138","137","3.8"
"139","138","1.4"
"140","139","1"
"141","140","2.6"
"142","141","3"
"143","142","3"
"144","143","1.6"
"145","144","2"
"146","145","1.2"
"147","146","2"
"148","147","1.4"
"149","148","1.6"
"150","149","1.8"
"151","150","2.4"
"152","151","2"
"153","152","2.6"
"154","153","3.2"
"155","154","3"
"156","155","2.4"
"157","156","2.2"
"158","157","2.6"
"159","158","0.8"
"160","159","1.4"
"161","160","1.8"
"162","161","3.4"
"163","162","1.8"
"164","163","1.8"
"165","164","1.8"
"166","165","3.2"
"167","166","1.4"
"168","167","1"
"169","168","2"
"170","169","3.4"
"171","170","2.4"
"172","171","2.6"
"173","172","1"
"174","173","0.8"
"175","174","1.4"
"176","175","2"
"177","176","2.4"
"178","177","3.2"
"179","178","1.6"
"180","179","1.2"
"181","180","3.6"
"182","181","2.4"
"183","182","0.6"
"184","183","1.6"
"185","184","1.6"
"186","185","2.6"
"187","186","3.2"
"188","187","2.8"
"189","188","3"
"190","189","2.8"
"191","190","4.2"
"192","191","1"
"193","192","2.8"
"194","193","2"
"195","194","2.2"
"196","195","3"
"197","196","2.6"
"198","197","1"
"199","198","1.6"
"200","199","2.2"
"201","200","1.6"
"202","201","2"
"203","202","2.4"
"204","203","2.6"
"205","204","1.8"
"206","205","2.8"
"207","206","1.8"
"208","207","1.4"
"209","208","2.4"
"210","209","4.4"
"211","210","2.6"
"212","211","2.8"
"213","212","1.4"
"214","213","2.2"
"215","214","2"
"216","215","2.8"
"217","216","1.8"
"218","217","2.2"
"219","218","2"
"220","219","2.2"
"221","220","3"
"222","221","1.4"
"223","222","0.8"
"224","223","1.4"
"225","224","2.6"
"226","225","3.8"
"227","226","2.2"
"228","227","1.8"
"229","228","2"
"230","229","1.6"
"231","230","2.4"
"232","231","2.8"
"233","232","1.4"
"234","233","2"
"235","234","1.6"
"236","235","-0.6"
"237","236","0"
"238","237","2"
"239","238","1"
"240","239","1.8"
"241","240","4.4"
"242","241","3.6"
"243","242","1.6"
"244","243","1.8"
"245","244","1.4"
"246","245","3.4"
"247","246","3.4"
"248","247","3.2"
"249","248","2.6"
"250","249","5.4"
"251","250","1.8"
"252","251","2.4"
"253","252","2"
"254","253","2"
"255","254","4"
"256","255","3.6"
"257","256","2.6"
"258","257","2"
"259","258","1.2"
"260","259","1.8"
"261","260","2"
"262","261","3.2"
"263","262","2.6"
"264","263","0.8"
"265","264","2"
"266","265","2.6"
"267","266","3.4"
"268","267","1.6"
"269","268","0.8"
"270","269","3.8"
"271","270","2.6"
"272","271","3.4"
"273","272","2.2"
"274","273","2.8"
"275","274","1.6"
"276","275","2.6"
"277","276","3"
"278","277","1.2"
"279","278","1.4"
"280","279","2"
"281","280","1.2"
"282","281","3.6"
"283","282","1.2"
"284","283","1.6"
"285","284","3.6"
"286","285","1"
"287","286","2.8"
"288","287","3.2"
"289","288","2.2"
"290","289","0.8"
"291","290","2.2"
"292","291","2"
"293","292","1.6"
"294","293","1.6"
"295","294","1.6"
"296","295","1.8"
"297","296","3.6"
"298","297","3.4"
"299","298","3.2"
"300","299","2.8"
"301","300","1.4"
"302","301","3.6"
"303","302","2.2"
"304","303","2.2"
"305","304","3.8"
"306","305","2.2"
"307","306","3.2"
"308","307","3.8"
"309","308","1.6"
"310","309","2"
"311","310","2"
"312","311","2.8"
"313","312","1.6"
"314","313","1.8"
"315","314","3.8"
"316","315","2"
"317","316","2"
"318","317","3.4"
"319","318","2"
"320","319","1.6"
"321","320","1.6"
"322","321","2.2"
"323","322","2.8"
"324","323","1.8"
"325","324","3"
"326","325","3.2"
"327","326","3"
"328","327","3.4"
"329","328","4.2"
"330","329","3.4"
"331","330","2.2"
"332","331","2.4"
"333","332","3.6"
"334","333","3.4"
"335","334","2.8"
"336","335","4"
"337","336","1.8"
"338","337","2"
"339","338","3.2"
"340","339","4.4"
"341","340","4.4"
"342","341","1.8"
"343","342","1.4"
"344","343","2.4"
"345","344","0.8"
"346","345","2.4"
"347","346","2"
"348","347","2.4"
"349","348","3.6"
"350","349","4.4"
"351","350","3.6"
"352","351","3"
"353","352","2"
"354","353","2.2"
"355","354","2.2"
"356","355","3.4"
"357","356","1.4"
"358","357","3.2"
"359","358","3.2"
"360","359","2.2"
"361","360","2"
"362","361","2.8"
"363","362","2.4"
"364","363","3"
"365","364","4.2"
"366","365","4.4"
"367","366","2"
"368","367","2.8"
"369","368","3.8"
"370","369","3.4"
"371","370","2"
"372","371","4"
"373","372","2.6"
"374","373","3.4"
"375","374","2.4"
"376","375","2.6"
"377","376","0.4"
"378","377","5.2"
"379","378","4.2"
"380","379","3.8"
"381","380","1"
"382","381","2"
"383","382","4.2"
"384","383","2.2"
"385","384","3.2"
"386","385","2.8"
"387","386","3"
"388","387","2.2"
"389","388","2.2"
"390","389","3.2"
"391","390","2.4"
"392","391","2.2"
"393","392","3"
"394","393","4.8"
"395","394","2.6"
"396","395","2.2"
"397","396","2.2"
"398","397","1.8"
"399","398","1.6"
"400","399","5"
"401","400","2.4"
"402","401","2"
"403","402","3.4"
"404","403","3"
"405","404","1.8"
"406","405","3.6"
"407","406","1.4"
"408","407","3.4"
"409","408","2"
"410","409","2.8"
"411","410","4.4"
"412","411","3"
"413","412","1.6"
"414","413","3"
"415","414","2.4"
"416","415","3.4"
"417","416","5.2"
"418","417","2.4"
"419","418","2.2"
"420","419","2.4"
"421","420","2.8"
"422","421","2.6"
"423","422","2.8"
"424","423","3.2"
"425","424","3"
"426","425","1.4"
"427","426","2"
"428","427","3"
"429","428","3.8"
"430","429","1"
"431","430","3.4"
"432","431","3.6"
"433","432","2.2"
"434","433","4"
"435","434","2.6"
"436","435","2.6"
"437","436","2.6"
"438","437","3.2"
"439","438","2.4"
"440","439","2.2"
"441","440","3"
"442","441","3"
"443","442","1.8"
"444","443","1.4"
"445","444","3"
"446","445","2.2"
"447","446","2.4"
"448","447","3.4"
"449","448","4"
"450","449","3.6"
"451","450","3"
"452","451","3.4"
"453","452","1.6"
"454","453","4"
"455","454","3.6"
"456","455","2.2"
"457","456","2.8"
"458","457","2"
"459","458","1.6"
"460","459","1"
"461","460","2.2"
"462","461","2"
"463","462","1.6"
"464","463","2.6"
"465","464","2.6"
"466","465","3.4"
"467","466","4"
"468","467","2.4"
"469","468","1.8"
"470","469","3.2"
"471","470","1.8"
"472","471","2.8"
"473","472","2.2"
"474","473","2"
"475","474","1"
"476","475","3.2"
"477","476","3.8"
"478","477","3.4"
"479","478","3.4"
"480","479","4.2"
"481","480","4.4"
"482","481","3.8"
"483","482","2"
"484","483","2.4"
"485","484","3.4"
"486","485","1.8"
"487","486","0.4"
"488","487","4"
"489","488","2.4"
"490","489","3.4"
"491","490","1"
"492","491","3"
"493","492","3.8"
"494","493","1.8"
"495","494","2.4"
"496","495","4"
"497","496","4"
"498","497","1.8"
"499","498","3.6"
"500","499","2.8"
"501","500","3.6"
"502","501","2.2"
"503","502","3.8"
"504","503","2.2"
"505","504","2.2"
"506","505","3"
"507","506","4.2"
"508","507","3"
"509","508","4"
"510","509","4"
"511","510","3.4"
"512","511","2.4"
"513","512","2.2"
"514","513","2.2"
"515","514","3.6"
"516","515","3.6"
"517","516","2.2"
"518","517","2"
"519","518","2.8"
"520","519","2"
"521","520","3.6"
"522","521","3.6"
"523","522","2.8"
"524","523","4.4"
"525","524","2.8"
