"episode","50 hns with som - _step","50 hns with som - reward"
"1","0","1.2"
"2","1","0.8"
"3","2","0"
"4","3","0"
"5","4","0.8"
"6","5","0.4"
"7","6","0.2"
"8","7","-0.6"
"9","8","0"
"10","9","0.4"
"11","10","0.6"
"12","11","0"
"13","12","-0.6"
"14","13","1.4"
"15","14","0.4"
"16","15","0.4"
"17","16","0.4"
"18","17","0.4"
"19","18","0.4"
"20","19","2"
"21","20","0.6"
"22","21","0.2"
"23","22","1.4"
"24","23","0.2"
"25","24","1"
"26","25","1.2"
"27","26","0.2"
"28","27","-0.2"
"29","28","1"
"30","29","0.2"
"31","30","0.8"
"32","31","1"
"33","32","0.4"
"34","33","0.6"
"35","34","0.2"
"36","35","0.4"
"37","36","-0.2"
"38","37","0.6"
"39","38","0.6"
"40","39","0.2"
"41","40","0.6"
"42","41","1"
"43","42","0"
"44","43","0.2"
"45","44","0.8"
"46","45","0.8"
"47","46","0.4"
"48","47","0.4"
"49","48","0.2"
"50","49","0.8"
"51","50","0.8"
"52","51","1.2"
"53","52","0.6"
"54","53","0.8"
"55","54","0.2"
"56","55","0.2"
"57","56","0.8"
"58","57","0.4"
"59","58","1"
"60","59","1"
"61","60","0.2"
"62","61","0.2"
"63","62","0"
"64","63","0.2"
"65","64","-0.2"
"66","65","0.6"
"67","66","0.4"
"68","67","0.4"
"69","68","0.8"
"70","69","0.6"
"71","70","0.8"
"72","71","0.6"
"73","72","0.8"
"74","73","0.6"
"75","74","0.6"
"76","75","0.6"
"77","76","0.2"
"78","77","-0.2"
"79","78","1.2"
"80","79","0.4"
"81","80","1.4"
"82","81","2"
"83","82","1.8"
"84","83","0.6"
"85","84","1.2"
"86","85","1.6"
"87","86","0.6"
"88","87","0.2"
"89","88","-0.6"
"90","89","0.2"
"91","90","0.8"
"92","91","0.8"
"93","92","1.4"
"94","93","1.4"
"95","94","1.8"
"96","95","0.2"
"97","96","1.2"
"98","97","1.8"
"99","98","1.6"
"100","99","4.4"
"101","100","0.8"
"102","101","1.8"
"103","102","1.8"
"104","103","2.2"
"105","104","2.2"
"106","105","1.2"
"107","106","2.4"
"108","107","2"
"109","108","4"
"110","109","1.4"
"111","110","1.2"
"112","111","0.6"
"113","112","0.6"
"114","113","1.6"
"115","114","1.8"
"116","115","2.6"
"117","116","2.8"
"118","117","4"
"119","118","4.2"
"120","119","1.2"
"121","120","2.6"
"122","121","2.2"
"123","122","4.4"
"124","123","4.2"
"125","124","4.6"
"126","125","3"
"127","126","3.4"
"128","127","4.2"
"129","128","2.4"
"130","129","0.8"
"131","130","3"
"132","131","4.2"
"133","132","1.4"
"134","133","2.8"
"135","134","3.2"
"136","135","3.2"
"137","136","3.4"
"138","137","2.8"
"139","138","5"
"140","139","1"
"141","140","5.2"
"142","141","5"
"143","142","3.4"
"144","143","3.8"
"145","144","2.2"
"146","145","2.8"
"147","146","1.8"
"148","147","4.8"
"149","148","3.2"
"150","149","1.8"
"151","150","3.8"
"152","151","2"
"153","152","5.4"
"154","153","7"
"155","154","4"
"156","155","1.4"
"157","156","3.6"
"158","157","4"
"159","158","7.4"
"160","159","3.2"
"161","160","1.8"
"162","161","5"
"163","162","3.8"
"164","163","5.8"
"165","164","4.4"
"166","165","1"
"167","166","4.6"
"168","167","5.8"
"169","168","1.6"
"170","169","4.2"
"171","170","3.6"
"172","171","0.6"
"173","172","2.4"
"174","173","1.6"
"175","174","5.6"
"176","175","0.6"
"177","176","2.8"
