"episode","100 hns base stochastic - _step","100 hns base stochastic - reward"
"1","0","1.3"
"2","1","1.4"
"3","2","2.5"
"4","3","0.3"
"5","4","0.4"
"6","5","1"
"7","6","2.2"
"8","7","1.9"
"9","8","2.5"
"10","9","1"
"11","10","1.4"
"12","11","1.7"
"13","12","1.7"
"14","13","0.3"
"15","14","0.7"
"16","15","-0.2"
"17","16","0.1"
"18","17","0.3"
"19","18","1.2"
"20","19","2.1"
"21","20","2.2"
"22","21","0.5"
"23","22","0.3"
"24","23","1"
"25","24","0.7"
"26","25","2.6"
"27","26","1"
"28","27","1.2"
"29","28","0.9"
"30","29","1.8"
"31","30","0.5"
"32","31","1"
"33","32","0.9"
"34","33","2"
"35","34","1.5"
"36","35","0.2"
"37","36","0.9"
"38","37","0.6"
"39","38","1.4"
"40","39","1.5"
"41","40","0.7"
"42","41","0.3"
"43","42","-1"
"44","43","0.4"
"45","44","0.9"
"46","45","2.8"
"47","46","0.1"
"48","47","0.1"
"49","48","2.5"
"50","49","0.8"
"51","50","1.2"
"52","51","0.9"
"53","52","-0.5"
"54","53","1.3"
"55","54","-0.5"
"56","55","-1"
"57","56","2.6"
"58","57","1.3"
"59","58","1.9"
"60","59","1.9"
"61","60","-0.1"
"62","61","1.1"
"63","62","1.6"
"64","63","0.4"
"65","64","0.3"
"66","65","0.6"
"67","66","0.9"
"68","67","0.6"
"69","68","0.8"
"70","69","0.5"
"71","70","1.6"
"72","71","0.7"
"73","72","0.5"
"74","73","0.6"
"75","74","0"
"76","75","1.1"
"77","76","-0.8"
"78","77","-0.1"
"79","78","-0.1"
"80","79","0.8"
"81","80","0.5"
"82","81","-0.1"
"83","82","0.1"
"84","83","2"
"85","84","1.1"
"86","85","0"
"87","86","1.1"
"88","87","0.9"
"89","88","2"
"90","89","-0.4"
"91","90","0.8"
"92","91","1.2"
"93","92","3"
"94","93","1.3"
"95","94","1"
"96","95","2"
"97","96","-0.4"
"98","97","0.8"
"99","98","2.7"
"100","99","0.5"
"101","100","1.1"
"102","101","0.8"
"103","102","1"
"104","103","1.8"
"105","104","1.1"
"106","105","0.8"
"107","106","1.1"
"108","107","2.8"
"109","108","2.6"
"110","109","0.8"
"111","110","-0.2"
"112","111","1"
"113","112","0.5"
"114","113","2.2"
"115","114","1.4"
"116","115","0.7"
"117","116","2.3"
"118","117","0.3"
"119","118","2"
"120","119","0.9"
"121","120","-1.2"
"122","121","2.6"
"123","122","1.5"
"124","123","1.2"
"125","124","-0.6"
"126","125","-0.4"
"127","126","1"
"128","127","0.5"
"129","128","1.8"
"130","129","0.9"
"131","130","1.5"
"132","131","1.1"
"133","132","-0.9"
"134","133","0"
"135","134","0.5"
"136","135","1.7"
"137","136","0.9"
"138","137","0.4"
"139","138","0.5"
"140","139","1"
"141","140","1.3"
"142","141","0.5"
"143","142","1.8"
"144","143","0.6"
"145","144","0.9"
"146","145","-0.1"
"147","146","0.8"
"148","147","1.8"
"149","148","1.8"
"150","149","1.2"
"151","150","0.8"
"152","151","0.8"
"153","152","-0.7"
"154","153","1"
"155","154","2.1"
"156","155","1.9"
"157","156","2.8"
"158","157","2.1"
"159","158","0.6"
"160","159","0.7"
"161","160","0.6"
"162","161","1.3"
"163","162","0.7"
"164","163","2.2"
"165","164","2"
"166","165","0.4"
"167","166","-0.1"
"168","167","0.9"
"169","168","3.2"
"170","169","1.2"
"171","170","1.1"
"172","171","1.8"
"173","172","2.3"
"174","173","1.5"
"175","174","1.4"
"176","175","0"
"177","176","2.4"
"178","177","0.9"
"179","178","1.2"
"180","179","1.6"
"181","180","2"
"182","181","-0.7"
"183","182","1.8"
"184","183","-0.1"
"185","184","0.3"
"186","185","0.8"
"187","186","1"
"188","187","2.5"
"189","188","4.4"
"190","189","2.6"
"191","190","3.7"
"192","191","0.7"
"193","192","1.5"
"194","193","2.9"
"195","194","0.3"
"196","195","0.8"
"197","196","0.8"
"198","197","3"
"199","198","2.6"
"200","199","1.8"
"201","200","-0.5"
"202","201","2"
"203","202","2"
"204","203","2.2"
"205","204","0.6"
"206","205","0.2"
"207","206","2.1"
"208","207","1.1"
"209","208","0.2"
"210","209","1.9"
"211","210","-0.2"
"212","211","0.7"
"213","212","0"
"214","213","0.8"
"215","214","1.6"
"216","215","0"
"217","216","0.8"
"218","217","1.7"
"219","218","2.3"
"220","219","1.5"
"221","220","1.1"
"222","221","2.7"
"223","222","1.9"
"224","223","2.5"
"225","224","2"
"226","225","1.3"
"227","226","4.2"
"228","227","4.2"
"229","228","1.3"
"230","229","0"
"231","230","0.5"
"232","231","1.5"
"233","232","0.5"
"234","233","2.4"
"235","234","2.5"
"236","235","0.6"
"237","236","3"
"238","237","3"
"239","238","2.7"
"240","239","0.5"
"241","240","3.3"
"242","241","3.3"
"243","242","-0.9"
"244","243","3"
"245","244","-0.8"
"246","245","1.5"
"247","246","-0.1"
"248","247","2.2"
"249","248","0.9"
"250","249","0.7"
"251","250","2"
"252","251","1"
"253","252","3"
"254","253","2.5"
"255","254","0.4"
"256","255","1.8"
