"episode","1000 hns with additional head stochastic - _step","1000 hns with additional head stochastic - reward"
"1","0.5","0.97"
"2","2","0.67"
"3","3","0.58"
"4","4","0.96"
"5","5","1.01"
"6","6","0.97"
"7","7","1.26"
"8","8","1.45"
"9","9","1.35"
"10","10","1.58"
"11","11","1.71"
"12","12","1.65"
"13","13","1.58"
"14","14","1.71"
"15","15","2.21"
"16","16","1.97"
"17","17","2.02"
"18","18","2.64"
"19","19","2.46"
"20","20","2.45"
"21","21","2.7"
"22","22","2.01"
"23","23","2.96"
"24","24","2.39"
"25","25","2.54"
"26","26","2.87"
"27","27","2.82"
"28","28","2.9"
"29","29","3.23"
"30","30","3.46"
"31","31","3.26"
"32","32","3.34"
"33","33","3.64"
"34","34","3.54"
"35","35","3.65"
"36","36","3.81"
"37","37","4.1"
"38","38","3.82"
"39","39","3.82"
"40","40","4.88"
"41","41","3.73"
"42","42","4.49"
"43","43","4.08"
"44","44","4.55"
"45","45","3.99"
"46","46","3.85"
"47","47","4.86"
"48","48","4.38"
"49","49","4.2"
"50","50","5.25"
"51","51","4.42"
"52","52","4.84"
"53","53","4.78"
"54","54","4.99"
"55","55","4.88"
"56","56","4.87"
"57","57","4.61"
"58","58","5.46"
"59","59","5.4"
"60","60","4.9"
"61","61","4.65"
"62","62","4.89"
"63","63","5.4"
"64","64","5.28"
"65","65","5.48"
"66","66","5.49"
"67","67","5.76"
"68","68","5.67"
"69","69","5.48"
"70","70","4.99"
"71","71","5.82"
"72","72","5.8"
"73","73","5.65"
"74","74","5.27"
"75","75","6.15"
"76","76","5.41"
"77","77","5.11"
"78","78","5.6"
"79","79","5.36"
"80","80","4.71"
"81","81","5.64"
"82","82","6"
"83","83","6.35"
"84","84","5.26"
"85","85","5.89"
"86","86","5.34"
"87","87","5.75"
"88","88","5.58"
"89","89","5.64"
"90","90","5.9"
"91","91","6.68"
"92","92","5.83"
"93","93","5.4"
"94","94","6.73"
"95","95","6.52"
"96","96","6.09"
"97","97","5.48"
"98","98","5.62"
"99","99","5.97"
"100","100","6.3"
"101","101","5.62"
"102","102","6.23"
"103","103","6.35"
"104","104","7.18"
"105","105","6.12"
"106","106","6.08"
"107","107","5.93"
"108","108","6.16"
"109","109","6.31"
"110","110","5.91"
"111","111","6.43"
"112","112","6.82"
"113","113","6.31"
"114","114","5.99"
"115","115","7.2"
"116","116","6.78"
"117","117","6.58"
"118","118","7.14"
"119","119","6.43"
"120","120","5.86"
"121","121","7.42"
"122","122","6.28"
"123","123","7.04"
"124","124","6.67"
"125","125","7.6"
"126","126","6.75"
"127","127","6.53"
"128","128","6.57"
"129","129","6.6"
"130","130","7.25"
"131","131","7.15"
"132","132","7.39"
"133","133","7.3"
"134","134","7.2"
"135","135","6.31"
"136","136","7.24"
"137","137","6.71"
"138","138","6.57"
"139","139","7.37"
"140","140","7"
"141","141","7.08"
"142","142","6.67"
"143","143","7.11"
"144","144","6.9"
"145","145","6.76"
"146","146","7.36"
"147","147","7.61"
"148","148","6.94"
"149","149","6.56"
"150","150","7.62"
"151","151","8.09"
"152","152","7.05"
"153","153","7.39"
"154","154","7.82"
"155","155","6.91"
"156","156","7.8"
"157","157","7.91"
"158","158","7.02"
"159","159","7.42"
"160","160","7.13"
"161","161","7.65"
"162","162","8.19"
"163","163","8.36"
"164","164","7.46"
"165","165","8.3"
"166","166","7.39"
"167","167","8.03"
"168","168","7.65"
"169","169","7.88"
"170","170","8.13"
"171","171","8.17"
"172","172","8.17"
"173","173","7.85"
"174","174","8.13"
"175","175","8.37"
"176","176","7.95"
"177","177","7.65"
"178","178","6.88"
"179","179","8.54"
"180","180","8.05"
"181","181","8.45"
"182","182","8.51"
"183","183","7.81"
"184","184","7.94"
"185","185","8.68"
"186","186","8.62"
"187","187","8.85"
"188","188","8.75"
"189","189","8.74"
"190","190","8.4"
"191","191","8.7"
"192","192","8.82"
"193","193","9.14"
"194","194","7.98"
"195","195","8.63"
"196","196","8.4"
"197","197","9.4"
"198","198","9.16"
"199","199","8.36"
"200","200","9.1"
"201","201","8.85"
"202","202","9.03"
"203","203","9.65"
"204","204","9.02"
"205","205","9.2"
"206","206","9.09"
"207","207","9.31"
"208","208","8.63"
"209","209","8.74"
"210","210","8.08"
"211","211","9.42"
"212","212","9.3"
"213","213","9.46"
"214","214","10.27"
"215","215","8.99"
"216","216","9.6"
"217","217","9.79"
"218","218","9.84"
"219","219","9.2"
"220","220","9.63"
"221","221","9.77"
"222","222","9.88"
"223","223","9.81"
"224","224","10.25"
"225","225","10.2"
"226","226","9.94"
"227","227","10.51"
"228","228","10.06"
"229","229","10.18"
"230","230","10.12"
"231","231","9.7"
"232","232","10.17"
"233","233","9.72"
"234","234","10.16"
"235","235","10.57"
"236","236","10.27"
"237","237","9.84"
"238","238","9.77"
"239","239","9.87"
"240","240","10.61"
"241","241","10.95"
"242","242","10.31"
